"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Rinorea sylvatica",1995,"1995 - 2000","0.0678 (0.0567-0.0796)","0.00386 (0.00318-0.00461)","0.00407 (0.00326-0.00505)","0.0241 (0.0208-0.0277)","0.00138 (0.00117-0.00161)","0.00147 (0.00121-0.00176)","47.6 (42.4-53.5)",NA
"Rinorea sylvatica",2000,"2000 - 2005","0.0667 (0.0569-0.0782)","0.0038 (0.00316-0.00441)","0.00371 (0.00292-0.00448)","0.0236 (0.0205-0.027)","0.00137 (0.00115-0.00161)","0.00137 (0.00112-0.00164)","45.8 (40.3-51.6)",NA
"Rinorea sylvatica",2005,"2005 - 2010","0.0671 (0.0574-0.0775)","0.00417 (0.0034-0.00504)","0.00376 (0.00304-0.00452)","0.0237 (0.0204-0.0273)","0.00152 (0.00126-0.00179)","0.00138 (0.00115-0.00163)","45 (40.1-50.5)",NA
"Rinorea sylvatica",2010,"2010 - 2015","0.0692 (0.0583-0.0799)","0.00259 (0.00219-0.00302)","0.0023 (0.00176-0.00296)","0.0244 (0.0208-0.0279)","0.000865 (0.000732-0.00101)","0.000783 (0.000637-0.000949)","44.9 (39.6-50)","0.02 (0.02-0.02)"
"Rinorea sylvatica",2015,"1980 - 1985","0.0705 (0.0609-0.0806)",NA,NA,"0.0247 (0.0216-0.0285)",NA,NA,"44.7 (39.5-49.6)",NA
"Rosenbergiodendron formosum",1985,"1985 - 1990","0.000577 (0.000171-0.00132)","0.000125 (0-0.000295)","7.2e-05 (0-0.000216)","0.000169 (5.77e-05-0.000374)","3.27e-05 (6e-06-8e-05)","1.98e-05 (0-5.95e-05)","0.08 (0.06-0.12)",NA
"Rosenbergiodendron formosum",1990,"1990 - 1995","0.00087 (0.000274-0.00176)","0.00015 (3.43e-06-0.000413)","0.000124 (0-0.000373)","0.00024 (8.31e-05-0.00049)","4e-05 (8.01e-07-0.000112)","3.46e-05 (0-0.000104)","0.08 (0.06-0.12)",NA
"Rosenbergiodendron formosum",1995,"1995 - 2000","0.000995 (0.000291-0.00195)","9.86e-05 (6.23e-06-0.000279)","0.000129 (0-0.000386)","0.000266 (8.71e-05-0.000531)","2.67e-05 (1.18e-06-7.65e-05)","3.51e-05 (0-0.000105)","0.08 (0.06-0.12)",NA
"Rosenbergiodendron formosum",2000,"2000 - 2005","0.000842 (0.000346-0.0014)","5.37e-05 (-4.56e-05-0.000207)","9.36e-05 (0-0.000281)","0.000224 (9.97e-05-0.000386)","1.48e-05 (-8.9e-06-5.33e-05)","2.57e-05 (0-7.71e-05)","0.08 (0.06-0.1)",NA
"Rosenbergiodendron formosum",2005,"2005 - 2010","0.000643 (0.000346-0.00103)","2.67e-06 (2.67e-06-2.67e-06)","0.000107 (0-0.000208)","0.00017 (9.97e-05-0.000266)","5.91e-07 (5.91e-07-5.91e-07)","2.76e-05 (0-5.36e-05)","0.06 (0.06-0.06)",NA
"Rosenbergiodendron formosum",2010,"2010 - 2015","0.000129 (0.000129-0.000129)","7.48e-06 (7.48e-06-7.48e-06)","0 (0-0)","3.62e-05 (3.62e-05-3.62e-05)","1.59e-06 (1.59e-06-1.59e-06)","0 (0-0)","0.02 (0.02-0.02)",NA
"Rosenbergiodendron formosum",2015,"1980 - 1985","0.000166 (0.000166-0.000166)",NA,NA,"4.41e-05 (4.41e-05-4.41e-05)",NA,NA,"0.02 (0.02-0.02)",NA
"Sapium broadleaf",1985,"1985 - 1990","0.0351 (0.0117-0.068)","0.000101 (-0.0013-0.000896)","0 (0-0)","0.00549 (0.00228-0.00984)","2.46e-05 (-0.00016-0.000124)","0 (0-0)","0.06 (0.06-0.06)","0.06 (0.06-0.06)"
"Sapium broadleaf",1990,"1990 - 1995","0.0356 (0.0152-0.0615)","0.00103 (0.000216-0.00151)","0 (0-0)","0.00562 (0.00283-0.00904)","0.000135 (3.28e-05-0.000186)","0 (0-0)","0.06 (0.06-0.06)","0.06 (0.06-0.06)"
"Sapium broadleaf",1995,"1995 - 2000","0.0408 (0.0163-0.069)","0.000822 (3.16e-05-0.00222)","0 (0-0)","0.00629 (0.00299-0.00997)","0.000108 (4.76e-06-0.000294)","0 (0-0)","0.06 (0.06-0.06)","0.06 (0.06-0.06)"
"Sapium broadleaf",2000,"2000 - 2005","0.0449 (0.0165-0.0701)","0.000888 (0.000743-0.00103)","0.00109 (0-0.00326)","0.00683 (0.00302-0.0101)","0.000117 (0.000106-0.000127)","0.000199 (0-0.000596)","0.08 (0.06-0.12)","0.06 (0.06-0.06)"
"Sapium broadleaf",2005,"2005 - 2010","0.0346 (0-0.0572)","0.000671 (1.87e-05-0.00132)","0.00383 (0-0.0115)","0.00526 (0-0.00809)","8.93e-05 (9.16e-06-0.000169)","0.00057 (0-0.00171)","0.06 (0.04-0.08)","0.04 (0.04-0.04)"
"Sapium broadleaf",2010,"2010 - 2015","0.0189 (0-0.0566)","0.000172 (2.33e-05-0.000383)","2.1e-05 (0-4.21e-05)","0.00286 (0-0.00852)","3.13e-05 (1.18e-05-4.81e-05)","8.52e-06 (0-1.7e-05)","0.06 (0.04-0.08)","0.02 (0.02-0.02)"
"Sapium broadleaf",2015,"1980 - 1985","0.0197 (0.000121-0.0582)",NA,NA,"0.00298 (6.11e-05-0.00863)",NA,NA,"0.06 (0.06-0.06)","0.02 (0.02-0.02)"
"Sapium glandulosum",1985,"1985 - 1990","0.458 (0.222-0.751)","0.0119 (-0.00503-0.0329)","0.0112 (0.000401-0.0282)","0.0618 (0.0317-0.0999)","0.00141 (-0.00043-0.00387)","0.00167 (0.000109-0.00392)","0.84 (0.82-0.88)","0.4 (0.4-0.4)"
"Sapium glandulosum",1990,"1990 - 1995","0.449 (0.194-0.762)","0.00551 (0.00198-0.0101)","0.0232 (6.25e-05-0.0688)","0.059 (0.0257-0.0964)","0.000746 (0.000342-0.00127)","0.00278 (2.88e-05-0.00811)","0.82 (0.8-0.86)","0.34 (0.34-0.34)"
"Sapium glandulosum",1995,"1995 - 2000","0.361 (0.164-0.611)","0.00405 (0.00184-0.00684)","0.00097 (3.12e-05-0.00247)","0.0489 (0.0236-0.0819)","0.000574 (0.000322-0.000877)","0.000219 (1.64e-05-0.000577)","0.68 (0.66-0.72)","0.32 (0.32-0.32)"
"Sapium glandulosum",2000,"2000 - 2005","0.375 (0.161-0.657)","0.00356 (0.00172-0.00576)","0.0135 (2.06e-05-0.0405)","0.0505 (0.0227-0.0831)","0.000523 (0.000294-0.000754)","0.00169 (1.26e-05-0.00503)","0.8 (0.68-0.94)","0.34 (0.34-0.34)"
"Sapium glandulosum",2005,"2005 - 2010","0.315 (0.115-0.551)","0.00251 (0.000792-0.00501)","0.0254 (0.000777-0.0665)","0.0436 (0.0182-0.0742)","0.000382 (0.000163-0.000676)","0.00333 (0.000213-0.00802)","1.04 (0.92-1.2)","0.34 (0.32-0.38)"
"Sapium glandulosum",2010,"2010 - 2015","0.202 (0.0725-0.364)","0.00259 (0.000983-0.00471)","0.00571 (2.72e-05-0.017)","0.029 (0.0108-0.0513)","0.000391 (0.000188-0.000632)","0.000814 (1.64e-05-0.00239)","0.8 (0.76-0.86)","0.24 (0.24-0.24)"
"Sapium glandulosum",2015,"1980 - 1985","0.186 (0.0588-0.344)",NA,NA,"0.0268 (0.00983-0.0473)",NA,NA,"0.66 (0.64-0.72)","0.22 (0.22-0.22)"
"Schefflera morototoni",1985,"1980 - 1985","0.00563 (0.00563-0.00563)",NA,"0.00105 (0.00105-0.00105)","0.000951 (0.000951-0.000951)",NA,"0.000177 (0.000177-0.000177)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Schizolobium parahyba",1985,"1985 - 1990","4.86e-05 (1.31e-05-8.96e-05)","7.55e-05 (1.87e-05-0.000143)","2.5e-06 (0-7.51e-06)","3.53e-05 (9.82e-06-6.32e-05)","3.09e-05 (8.39e-06-6.56e-05)","1.87e-06 (0-5.61e-06)","0.08 (0.08-0.08)",NA
"Schizolobium parahyba",1990,"1990 - 1995","0.000377 (0.000101-0.000732)","9.06e-05 (1.29e-05-0.000226)","0 (0-0)","0.00019 (7.31e-05-0.000347)","3.09e-05 (5e-06-7.25e-05)","0 (0-0)","0.12 (0.12-0.12)",NA
"Schizolobium parahyba",1995,"1995 - 2000","0.00083 (0.00018-0.00191)","0.000179 (3.59e-05-0.000399)","0.000116 (0-0.000343)","0.000344 (9.62e-05-0.000722)","6.06e-05 (1.39e-05-0.000128)","4.43e-05 (0-0.000126)","0.12 (0.12-0.12)",NA
"Schizolobium parahyba",2000,"2000 - 2005","0.00115 (0.000315-0.00226)","0.000263 (8.13e-05-0.00048)","0 (0-0)","0.000426 (9.55e-05-0.000769)","7.53e-05 (2.92e-05-0.00013)","0 (0-0)","0.12 (0.12-0.12)","0.02 (0.02-0.02)"
"Schizolobium parahyba",2005,"2005 - 2010","0.00246 (0.000675-0.00454)","0.000192 (5.68e-05-0.000344)","0 (0-0)","0.000803 (0.000223-0.00145)","5.43e-05 (2.55e-05-8.53e-05)","0 (0-0)","0.16 (0.16-0.16)","0.06 (0.06-0.06)"
"Schizolobium parahyba",2010,"2010 - 2015","0.00342 (0.00117-0.00628)","0.000251 (9.66e-05-0.000464)","0 (0-0)","0.00107 (0.000424-0.00183)","6.6e-05 (2.98e-05-0.000112)","0 (0-0)","0.18 (0.18-0.18)","0.06 (0.06-0.06)"
"Schizolobium parahyba",2015,"1980 - 1985","0.00467 (0.00173-0.0081)",NA,NA,"0.0014 (0.000678-0.00224)",NA,NA,"0.18 (0.18-0.18)","0.06 (0.06-0.06)"
"Senna dariensis",1985,"1985 - 1990","0.00658 (0.00401-0.0104)","0.000542 (0.00039-0.000713)","0.000751 (0.000329-0.00146)","0.00196 (0.00142-0.00267)","0.000167 (0.000128-0.000212)","0.000208 (0.000121-0.00033)","2.7 (2.5-2.92)","0.02 (0.02-0.02)"
"Senna dariensis",1990,"1990 - 1995","0.00583 (0.00437-0.00745)","0.000335 (0.000223-0.000468)","0.000512 (0.00034-0.000724)","0.00183 (0.00147-0.00223)","9.19e-05 (6.33e-05-0.000123)","0.000171 (0.000124-0.000225)","2.22 (2.04-2.44)",NA
"Senna dariensis",1995,"1995 - 2000","0.00505 (0.00349-0.00684)","0.000309 (0.000224-0.000418)","0.000388 (2e-04-0.000619)","0.00147 (0.00104-0.00192)","9.42e-05 (7.14e-05-0.000121)","0.000121 (7.19e-05-0.000179)","1.34 (1.2-1.52)",NA
"Senna dariensis",2000,"2000 - 2005","0.00465 (0.0029-0.00676)","0.000612 (0.000422-0.000827)","0.000357 (0.000178-0.000577)","0.00134 (0.000881-0.00185)","0.000203 (0.00015-0.000264)","0.000106 (5.79e-05-0.000163)","1.26 (1.14-1.44)",NA
"Senna dariensis",2005,"2005 - 2010","0.00593 (0.00391-0.00849)","0.00102 (0.000772-0.0013)","0.000587 (0.000288-0.000985)","0.00182 (0.00134-0.00248)","0.00031 (0.000246-0.000383)","0.000179 (0.000101-0.000282)","2.66 (2.34-3.08)",NA
"Senna dariensis",2010,"2010 - 2015","0.00813 (0.00588-0.0105)","0.00155 (0.00111-0.00204)","0.000421 (0.000256-0.000619)","0.00249 (0.00192-0.00308)","0.000467 (0.000355-0.000605)","0.000142 (9.36e-05-0.000197)","3.2 (2.82-3.74)",NA
"Senna dariensis",2015,"1980 - 1985","0.0138 (0.0101-0.0177)",NA,NA,"0.00412 (0.0032-0.00511)",NA,NA,"4.9 (4.26-5.68)",NA
"Simarouba amara",1985,"1985 - 1990","1.71 (1.34-2.08)","0.0987 (0.081-0.116)","0.069 (0.0371-0.11)","0.308 (0.247-0.365)","0.017 (0.0145-0.0197)","0.0122 (0.00726-0.0181)","24.9 (23.4-26.5)","5.04 (4.66-5.46)"
"Simarouba amara",1990,"1990 - 1995","1.84 (1.47-2.26)","0.0933 (0.0761-0.112)","0.0762 (0.0378-0.123)","0.33 (0.27-0.391)","0.0155 (0.013-0.0182)","0.0128 (0.00741-0.0195)","25.6 (24.1-27.1)","5.28 (4.92-5.68)"
"Simarouba amara",1995,"1995 - 2000","1.94 (1.55-2.32)","0.0896 (0.0731-0.107)","0.0697 (0.0424-0.103)","0.346 (0.286-0.412)","0.0147 (0.0125-0.0172)","0.0131 (0.00857-0.0182)","24.5 (23.2-25.9)","5.68 (5.34-6.08)"
"Simarouba amara",2000,"2000 - 2005","2.03 (1.59-2.5)","0.0904 (0.073-0.11)","0.115 (0.0691-0.173)","0.352 (0.287-0.423)","0.015 (0.0124-0.0177)","0.019 (0.012-0.0267)","24.6 (23.1-26.3)","5.26 (4.92-5.66)"
"Simarouba amara",2005,"2005 - 2010","1.89 (1.47-2.34)","0.082 (0.0658-0.0998)","0.116 (0.0611-0.176)","0.33 (0.262-0.402)","0.0142 (0.012-0.0166)","0.0189 (0.011-0.0281)","29.5 (28-31.4)","4.86 (4.52-5.26)"
"Simarouba amara",2010,"2010 - 2015","1.72 (1.36-2.13)","0.0862 (0.0703-0.105)","0.0923 (0.054-0.135)","0.307 (0.247-0.369)","0.015 (0.0125-0.0175)","0.016 (0.0102-0.0225)","31.4 (29.7-33.1)","4.6 (4.34-4.92)"
"Simarouba amara",2015,"1980 - 1985","1.68 (1.31-2.1)",NA,NA,"0.3 (0.241-0.36)",NA,NA,"36.5 (34.6-38.7)","4.38 (4.16-4.62)"
"Siparuna cristata",1985,"1985 - 1990","0.0525 (0.0302-0.0768)","0.00676 (0.00394-0.00999)","0.00697 (0.00389-0.011)","0.00835 (0.00548-0.0115)","0.00115 (0.000714-0.00164)","0.00113 (0.000669-0.00162)","0.86 (0.72-1.02)","0.32 (0.28-0.38)"
"Siparuna cristata",1990,"1990 - 1995","0.0513 (0.0312-0.0744)","0.00699 (0.00372-0.0104)","0.00877 (0.00525-0.0123)","0.00844 (0.00567-0.0115)","0.00114 (0.000664-0.00165)","0.00143 (0.000904-0.00198)","0.94 (0.76-1.16)","0.3 (0.26-0.34)"
"Siparuna cristata",1995,"1995 - 2000","0.0427 (0.0241-0.0667)","0.00593 (0.00302-0.00914)","0.00691 (0.00404-0.0103)","0.00707 (0.00426-0.0105)","0.000948 (0.000538-0.00142)","0.00114 (0.000697-0.00164)","0.82 (0.66-1.02)","0.26 (0.24-0.3)"
"Siparuna cristata",2000,"2000 - 2005","0.0378 (0.0178-0.0667)","0.00432 (0.00216-0.00707)","0.0058 (0.00278-0.00931)","0.00611 (0.00346-0.00985)","0.000726 (0.000388-0.00113)","0.00093 (0.000476-0.00139)","0.8 (0.64-1.02)","0.22 (0.18-0.3)"
"Siparuna cristata",2005,"2005 - 2010","0.0305 (0.0137-0.0538)","0.00284 (0.00115-0.00492)","0.00396 (0.00146-0.00728)","0.00509 (0.00258-0.00854)","0.000498 (0.000219-0.000847)","0.000664 (0.000294-0.00109)","0.68 (0.52-0.9)","0.2 (0.16-0.28)"
"Siparuna cristata",2010,"2010 - 2015","0.0248 (0.011-0.0442)","0.000897 (0.000347-0.00185)","0.000369 (0.000102-0.000756)","0.00425 (0.00225-0.00688)","0.000148 (6.91e-05-0.000275)","8.34e-05 (2.57e-05-0.000152)","0.6 (0.48-0.72)","0.14 (0.12-0.18)"
"Siparuna cristata",2015,"1980 - 1985","0.0274 (0.0111-0.0541)",NA,NA,"0.00457 (0.00233-0.00769)",NA,NA,"0.62 (0.48-0.8)","0.16 (0.12-0.24)"
"Siparuna pauciflora",1985,"1985 - 1990","0.098 (0.0717-0.128)","0.0112 (0.00822-0.0148)","0.0124 (0.00913-0.0163)","0.0206 (0.0167-0.0255)","0.00247 (0.0019-0.00306)","0.00274 (0.00206-0.00352)","7.4 (6.94-7.92)","0.46 (0.44-0.5)"
"Siparuna pauciflora",1990,"1990 - 1995","0.0915 (0.0666-0.119)","0.0105 (0.00748-0.0142)","0.0145 (0.00956-0.0204)","0.0193 (0.0155-0.0232)","0.00223 (0.00164-0.00282)","0.00304 (0.00233-0.00389)","6.12 (5.76-6.54)","0.3 (0.28-0.34)"
"Siparuna pauciflora",1995,"1995 - 2000","0.0723 (0.0544-0.0914)","0.00815 (0.00596-0.0109)","0.00993 (0.00693-0.0135)","0.0155 (0.0123-0.0188)","0.00187 (0.00142-0.00234)","0.00214 (0.00162-0.00274)","4.92 (4.6-5.26)","0.26 (0.26-0.26)"
"Siparuna pauciflora",2000,"2000 - 2005","0.0635 (0.0487-0.0811)","0.00859 (0.00609-0.0113)","0.00943 (0.00679-0.0121)","0.0141 (0.0114-0.017)","0.00202 (0.00159-0.00258)","0.00211 (0.00162-0.00264)","6.26 (5.78-6.78)","0.28 (0.28-0.28)"
"Siparuna pauciflora",2005,"2005 - 2010","0.0592 (0.0444-0.0756)","0.00905 (0.00651-0.0115)","0.0109 (0.00794-0.0142)","0.0137 (0.0109-0.0166)","0.00217 (0.00168-0.0027)","0.00248 (0.00194-0.00311)","7.34 (6.92-7.78)","0.28 (0.28-0.28)"
"Siparuna pauciflora",2010,"2010 - 2015","0.05 (0.0381-0.0644)","0.00438 (0.00341-0.00547)","0.00302 (0.00193-0.00453)","0.0122 (0.00971-0.0151)","0.0013 (0.00107-0.00157)","0.000731 (0.000522-0.000999)","6.86 (6.48-7.24)","0.26 (0.26-0.26)"
"Siparuna pauciflora",2015,"1980 - 1985","0.0566 (0.0433-0.0707)",NA,NA,"0.015 (0.0121-0.018)",NA,NA,"11.1 (10.4-11.8)","0.24 (0.24-0.24)"
"Sloanea terniflora",1985,"1985 - 1990","1.98 (0.794-3.87)","0.033 (0.0106-0.0594)","0.0179 (0.00253-0.0445)","0.174 (0.0868-0.307)","0.00274 (0.00108-0.00476)","0.0019 (0.000415-0.00455)","11.9 (11.2-12.5)","1.72 (1.64-1.82)"
"Sloanea terniflora",1990,"1990 - 1995","1.51 (0.775-2.46)","0.0402 (0.00648-0.0971)","0.0229 (0.00106-0.0641)","0.145 (0.0859-0.214)","0.00357 (0.000997-0.00775)","0.0022 (0.000274-0.00582)","11.3 (10.7-12)","1.6 (1.52-1.68)"
"Sloanea terniflora",1995,"1995 - 2000","1.57 (0.785-2.64)","0.0433 (0.00991-0.0962)","0.0921 (0.0043-0.264)","0.15 (0.0868-0.225)","0.00361 (0.00103-0.00815)","0.00736 (0.000571-0.0201)","10.5 (9.98-11.1)","1.56 (1.48-1.66)"
"Sloanea terniflora",2000,"2000 - 2005","1.31 (0.678-2.08)","0.0416 (0.00549-0.1)","0.0269 (0.00193-0.0761)","0.13 (0.0789-0.188)","0.00343 (0.000573-0.00794)","0.00254 (0.000345-0.00654)","9.86 (9.36-10.4)","1.42 (1.36-1.5)"
"Sloanea terniflora",2005,"2005 - 2010","1.36 (0.656-2.24)","0.0454 (0.00922-0.111)","0.0506 (0.00288-0.121)","0.132 (0.0785-0.196)","0.00371 (0.000891-0.00843)","0.0045 (0.000432-0.0108)","9.12 (8.66-9.66)","1.34 (1.26-1.46)"
"Sloanea terniflora",2010,"2010 - 2015","1.3 (0.623-2.2)","0.0248 (0.0113-0.0418)","0.0737 (0.000682-0.218)","0.125 (0.0716-0.197)","0.00223 (0.00119-0.00372)","0.00571 (0.000367-0.0192)","8.82 (8.38-9.32)","1.28 (1.2-1.38)"
"Sloanea terniflora",2015,"1980 - 1985","1.05 (0.569-1.62)",NA,NA,"0.107 (0.0682-0.152)",NA,NA,"8.24 (7.78-8.68)","1.34 (1.26-1.44)"
"Socratea exorrhiza",1985,"1985 - 1990","0.457 (0.396-0.511)","0.00132 (-0.00235-0.00485)","0.0179 (0.0127-0.0236)","0.129 (0.113-0.144)","0.00159 (0.000815-0.0024)","0.00494 (0.00365-0.00635)","14.7 (13.3-16.1)","7.12 (6.46-7.86)"
"Socratea exorrhiza",1990,"1990 - 1995","0.369 (0.324-0.412)","0.00919 (0.00634-0.0122)","0.0103 (0.00755-0.0131)","0.111 (0.0985-0.123)","0.00292 (0.00227-0.00366)","0.00319 (0.00237-0.004)","13.7 (12.5-15.1)","6.54 (5.94-7.1)"
"Socratea exorrhiza",1995,"1995 - 2000","0.36 (0.318-0.399)","0.00861 (0.00661-0.0106)","0.0127 (0.00957-0.0161)","0.109 (0.0976-0.121)","0.00259 (0.0021-0.00313)","0.00385 (0.00303-0.00474)","13.5 (12.2-14.9)","6.82 (6.2-7.48)"
"Socratea exorrhiza",2000,"2000 - 2005","0.337 (0.296-0.379)","0.00798 (0.0067-0.00933)","0.0118 (0.00907-0.0145)","0.102 (0.091-0.114)","0.00219 (0.00185-0.00256)","0.00367 (0.00292-0.00451)","12.4 (11.2-13.7)","6.38 (5.76-7.02)"
"Socratea exorrhiza",2005,"2005 - 2010","0.31 (0.273-0.347)","0.00732 (0.00593-0.00886)","0.00931 (0.0067-0.0119)","0.0927 (0.082-0.105)","0.00207 (0.00166-0.00251)","0.00284 (0.00212-0.00369)","10.8 (9.62-12)","5.78 (5.26-6.36)"
"Socratea exorrhiza",2010,"2010 - 2015","0.292 (0.255-0.331)","0.00744 (0.00611-0.00887)","0.011 (0.00819-0.014)","0.087 (0.0769-0.0972)","0.00223 (0.00186-0.00262)","0.00339 (0.00255-0.00421)","10 (8.94-11.2)","5.46 (4.94-6)"
"Socratea exorrhiza",2015,"1980 - 1985","0.273 (0.239-0.31)",NA,NA,"0.0811 (0.0717-0.092)",NA,NA,"9.06 (8.08-10.1)","5.12 (4.62-5.7)"
"Solanum arboreum",1985,"1980 - 1985","4.18e-06 (4.18e-06-4.18e-06)",NA,"8.23e-07 (8.23e-07-8.23e-07)","3.53e-06 (3.53e-06-3.53e-06)",NA,"6.95e-07 (6.95e-07-6.95e-07)","0.02 (0.02-0.02)",NA
"Solanum asperum",1985,"1985 - 1990","0 (0-0)","5.77e-05 (3.17e-05-8.72e-05)","0 (0-0)","0 (0-0)","2.61e-05 (1.64e-05-3.74e-05)","0 (0-0)",NA,NA
"Solanum asperum",1990,"1990 - 1995","0.000303 (8.17e-05-0.000573)","0.000152 (7.17e-05-0.000233)","4.63e-05 (0-0.000108)","0.000137 (3.42e-05-0.00025)","5.31e-05 (2.93e-05-7.68e-05)","2.14e-05 (0-4.52e-05)","0.08 (0.08-0.08)",NA
"Solanum asperum",1995,"1995 - 2000","0.000813 (0.000263-0.0015)","0.000102 (3.23e-05-0.000181)","0.000113 (1.77e-05-0.000242)","0.000289 (9.62e-05-0.000516)","4.12e-05 (1.46e-05-7.17e-05)","4.12e-05 (5.05e-06-8.36e-05)","0.1 (0.1-0.1)",NA
"Solanum asperum",2000,"2000 - 2005","0.000757 (0.000149-0.00151)","8.67e-05 (2.45e-05-0.000159)","9.65e-05 (6.06e-06-0.00025)","0.000289 (6.51e-05-0.000551)","2.88e-05 (1.11e-05-4.68e-05)","3.63e-05 (4.21e-06-8.38e-05)","0.16 (0.14-0.2)",NA
"Solanum asperum",2005,"2005 - 2010","0.000701 (8.61e-05-0.00144)","0.00018 (6.71e-05-0.000291)","0.000139 (2.27e-05-0.00029)","0.000248 (5.84e-05-0.00051)","6.45e-05 (2.91e-05-9.9e-05)","4.87e-05 (9e-06-9.44e-05)","0.14 (0.12-0.18)",NA
"Solanum asperum",2010,"2010 - 2015","0.000898 (0.00024-0.00176)","8.38e-05 (3.02e-05-0.000163)","0.000174 (6.57e-05-0.000288)","0.000325 (9.53e-05-0.000592)","3.72e-05 (1.84e-05-6.23e-05)","6.26e-05 (2.86e-05-9.83e-05)","0.16 (0.16-0.16)",NA
"Solanum asperum",2015,"1980 - 1985","0.000431 (0.00016-0.000808)",NA,NA,"0.000192 (9.51e-05-0.000326)",NA,NA,"0.24 (0.22-0.28)",NA
